ID;Setor;M_Producao
47;Comércio por atacado e a varejo, exceto veículos automotores;6.93
19;Derivados de petróleo;5.73
48;Transporte terrestre;4.25
58;Intermediação financeira, seguros e previdência complementar;4.16
60;Atividades jurídicas, contábeis, consultoria e sedes de empresas ;3.56
23;Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros;3.55
1;Agricultura, inclusive o apoio à agricultura e a pós-colheita;3.50
5;Extração de petróleo e gás, inclusive as atividades de apoio;3.46
40;Geração centralizada de energia elétrica;2.97
64;Outras atividades administrativas e serviços complementares;2.84
