ID;Setor;Coef_Renda;M_Renda
73;Serviços domésticos;1,00;1,00
67;Educação pública;0,80;0,86
65;Atividades de vigilância, segurança e investigação;0,72;0,78
69;Saúde pública;0,63;0,75
68;Educação privada;0,63;0,72
66;Administração pública, defesa e seguridade social;0,62;0,72
64;Outras atividades administrativas e serviços complementares;0,45;0,56
54;Edição e edição integrada à impressão;0,38;0,55
52;Alojamento;0,41;0,54
55;Atividades de televisão, rádio, cinema e  gravação/edição de som e imagem;0,27;0,48
