setor;ID;Setor;f_base;delta_f;f_cen1_v3;delta_x;x_cen1_v3;delta_va;delta_emp;emp_coeff
S01;1;Agricultura, inclusive o apoio à agricultura e a pós-colheita;217110.584569473;0.0;217110.584569473;-794.6104349466023;397242.3895650534;-418.2516369988157;-13350.607984027773;16.801450618912313
S02;2;Pecuária, inclusive o apoio à pecuária;50137.431159092725;0.0;50137.431159092725;-13.09352482424075;151945.90647517575;-6.177330606936528;-507.6252359432147;38.769181160707824
S03;3;"Produção florestal; pesca e aquicultura";21899.685071296444;0.0;21899.685071296444;-3.358007212343777;37866.641992787656;-2.518993105050489;-71.03475431158569;21.153842091365195
S04;4;Extração de carvão mineral e de minerais não-metálicos;1502.2190605267315;0.0;1502.2190605267315;2.4803188014013244;20013.4803188014;1.0102982634662034;14.660046302260909;5.910549197941132
S05;5;Extração de petróleo e gás, inclusive as atividades de apoio;92530.86238564484;0.0;92530.86238564484;1650.3548183613416;227588.35481836135;735.9972713668741;366.27478340036254;0.22193699156405738
S06;6;Extração de minério de ferro, inclusive beneficiamentos e a aglomeração;73313.87283754621;0.0;73313.87283754621;3.9310525032172303;92329.93105250322;1.9217135333514548;1.5089628134438688;0.3838572016550051
S07;7;Extração de minerais metálicos não-ferrosos, inclusive beneficiamentos;9924.989907944699;0.0;9924.989907944699;0.7721210870144599;18273.772121087015;0.2967973794773472;1.2232328215389703;1.5842499863186124
S08;8;Abate e produtos de carne, inclusive os produtos do laticínio e da pesca;236645.64617696128;0.0;236645.64617696128;-8.722406393270557;292397.27759360673;-1.3671286068342736;-22.825806641941057;2.616916205549818
S09;9;Fabricação e refino de açúcar;33288.97225664605;0.0;33288.97225664605;-973.5685672640581;50581.43143273594;-159.07946097628584;-2954.2627058466446;3.034468043836679
S10;10;Outros produtos alimentares;221291.87240643377;0.0;221291.87240643377;-298.7454897903548;324644.25451020966;-60.70469959309028;-1181.5241020001592;3.9549520992912597
S11;11;Fabricação de bebidas;43721.134281979226;0.0;43721.134281979226;-6.110230352624222;78537.88976964737;-1.7176854525608936;-14.855178590544295;2.431197799959259
S12;12;Fabricação de produtos do fumo;15316.154189789704;0.0;15316.154189789704;0.041729748071537204;15694.04172974807;0.009524401528752783;0.04728697844426008;1.1331719128329298
S13;13;Fabricação de produtos têxteis;22562.766968267544;0.0;22562.766968267544;-2.8466435057299178;54790.15335649427;-0.8336847468919024;-32.842253912939746;11.537185406895041
S14;14;Confecção de artefatos do vestuário e acessórios;60413.609508099136;0.0;60413.609508099136;-0.9770413748133322;66431.02295862518;-0.4177487236602524;-24.658205238932823;25.237626445086704
S15;15;Fabricação de calçados e de artefatos de couro;39028.75290255617;0.0;39028.75290255617;-2.665311304900477;43845.3346886951;-0.9464262227992251;-28.4800135066946;10.685436051815362
S16;16;Fabricação de produtos da madeira;11190.325808697904;0.0;11190.325808697904;-1.8151030015583252;32685.184896998442;-0.6529750725158118;-20.90125507013641;11.51518952488757
S17;17;Fabricação de celulose, papel e produtos de papel;49308.3498221361;0.0;49308.3498221361;0.38395897064236806;109595.38395897065;0.11133916772676178;0.7069126257521339;1.841115014371094
S18;18;Impressão e reprodução de gravações;1030.5022121892976;0.0;1030.5022121892976;1.9786517773889125;21334.97865177739;0.9516227082927972;16.750136428725256;8.465429147330427
S19;19;Derivados de petróleo;133542.4046814283;-72335.84;61206.56468142831;-70484.52987159819;363326.73661751265;-6688.935509354359;-3061.5565067548605;0.04343586475404041
S20;20;Biodiesel;450.6604636278737;72222.12527904808;72672.78574267596;72212.83504621478;82598.69717497994;7317.504505766877;18198.630403170137;0.25201379216760256
S21;21;Coquerias;295.34517686759625;0.0;295.34517686759625;154.59974069801885;3458.471122822031;5.3892665195981415;12.196822137341742;0.07889290164571434
S22;22;Fabricação de biocombustíveis;30093.827209916744;1487.7342777657796;31581.561487682524;-436.6123995508933;54200.3876004491;-92.08999931227004;-785.1703299572273;1.798323480425353
S23;23;Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros;23859.70764494478;0.0;23859.70764494478;-34.70225127510764;179471.2977487249;-5.160893229420045;-17.840614012474838;0.5141053780932113
S24;24;Fabricação de defensivos, desinfestantes, tintas e químicos diversos;15286.305847441288;0.0;15286.305847441288;-45.527373237162344;88262.47262676284;-7.863200351193558;-43.98226364809028;0.9660619649408887
S25;25;Fabricação de produtos de limpeza, cosméticos/perfumaria e higiene pessoal;39411.766238294425;0.0;39411.766238294425;-6.48306904290211;50169.5169309571;-1.4109357850065976;-17.75996038390997;2.739437181122449
S26;26;Fabricação de produtos farmoquímicos e farmacêuticos;55164.466210182974;0.0;55164.466210182974;1.2880299449131274;76245.28802994492;0.5877088525468599;1.7588524957332425;1.3655369602853995
S27;27;Fabricação de produtos de borracha e de material plástico;26627.847926174716;0.0;26627.847926174716;-7.402883615374179;121209.59711638463;-1.8104596284165375;-27.1539630023262;3.6680251119892424
S28;28;Fabricação de produtos de minerais não-metálicos;11172.874556680474;0.0;11172.874556680474;-9.031687801040121;83878.96831219897;-2.6654288442965655;-60.67330848079767;6.717826149151249
S29;29;Produção de ferro-gusa/ferroligas, siderurgia e tubos de aço sem costura;57999.060326683466;0.0;57999.060326683466;34.11969759116855;150099.11969759117;7.770692063928085;27.922833846475925;0.818378702562223
S30;30;Metalurgia de metais não-ferosos e a fundição de metais;28141.491019722514;0.0;28141.491019722514;-0.8478896631016335;73147.1521103369;-0.18367774377301477;-1.1615536632592618;1.3699349264504839
S31;31;Fabricação de produtos de metal, exceto máquinas e equipamentos;25018.37912644705;0.0;25018.37912644705;13.18667287320416;101967.1866728732;4.312564819538675;86.59055373179415;6.566520195382231
S32;32;Fabricação de equipamentos de informática, produtos eletrônicos e ópticos;72165.90613435805;0.0;72165.90613435805;2.4742871764428838;103546.47428717645;0.37277756270289913;3.0403594638062796;1.228781967086456
S33;33;Fabricação de máquinas e equipamentos elétricos;39827.56345410406;0.0;39827.56345410406;-28.95309324291618;79916.04690675708;-7.255566577379229;-71.82844316785355;2.480855588216899
S34;34;Fabricação de máquinas e equipamentos mecânicos;88662.79530775461;0.0;88662.79530775461;28.531422226908997;129341.53142222691;8.28343000831196;83.48496292558056;2.9260708513451856
S35;35;Fabricação de automóveis, caminhões e ônibus, exceto peças;178595.00456223145;0.0;178595.00456223145;-1.175876301218051;187913.82412369878;-0.14525512375368999;-1.0050968742811752;0.8547641220764708
S36;36;Fabricação de peças e acessórios para veículos automotores;19210.427021331016;0.0;19210.427021331016;0.11115311689251595;105992.11115311689;0.03153001747764347;0.3198724782488793;2.8777643595743077
S37;37;Fabricação de outros equipamentos de transporte, exceto veículos automotores;39652.73388922625;0.0;39652.73388922625;0.31819657452431593;41813.318196574524;0.08126709921185205;0.6189814885001987;1.9452801760218115
S38;38;Fabricação de móveis e de produtos de indústrias diversas;55838.60330853163;0.0;55838.60330853163;1.277227379998081;75236.27722738;0.5556070670908113;12.635799673473137;9.893148135841031
S39;39;Manutenção, reparação e instalação de máquinas e equipamentos;14695.78614839768;0.0;14695.78614839768;25.841145265084076;79993.84114526509;9.214438991019817;172.10659025271414;6.660176570628251
S40;40;Geração centralizada de energia elétrica;84332.07188842422;172.6392150775445;84504.71110350177;46.3219609029922;231787.67856805277;15.452231064694175;20.48796135513447;0.44229477672675627
S41;41;Geração distribuída de energia elétrica;7654.098070707304;6.661228108610175;7660.759298815914;-30.827248210567586;34453.925692918456;-10.685118707409796;-14.545687396826823;0.4718451448365268
S42;42;Transmissão;53.16466012229647;0.0;53.16466012229647;3.285886136013293;16757.02163840367;1.7611319167825141;2.445235193311306;0.7441630939403354
S43;43;Gás Natural;10118.217137655047;-1553.32;8564.897137655047;-1582.2113729615144;38576.943326492044;-900.5173609213188;-1070.1045920274744;0.6763347870673557
S44;44;Água, esgoto e gestão de resíduos;34142.25000150219;0.0;34142.25000150219;8.40017960225331;82228.40017960225;5.142990038893571;57.61254291667055;6.858489418632936
S45;45;Construção;442972.3935269824;0.0;442972.3935269824;19.526083532298966;552092.5260835323;8.604488177718695;269.43404873741696;13.798673363848621
S46;46;Comércio e reparação de veículos automotores e motocicletas;120458.27090104387;0.0;120458.27090104387;2.5191659452295676;175095.51916594524;1.4082283380099696;42.714576238506716;16.955840610418463
S47;47;Comércio por atacado e a varejo, exceto veículos automotores;647766.0016702183;0.0;647766.0016702183;265.6109457191541;1120844.610945719;162.40567248489137;3862.086576467722;14.540389387986032
S48;48;Transporte terrestre;134435.07352108252;0.0;134435.07352108252;-6.161433538506259;398806.8385664615;-2.552477582386511;-62.981532695556766;10.2218959763097
S49;49;Transporte aquaviário;7951.31447514362;0.0;7951.31447514362;44.72267634998549;23086.722676349986;19.554767998702538;102.35052911916434;2.288560020831525
S50;50;Transporte aéreo;18168.44608249849;0.0;18168.44608249849;13.99316899749569;44820.9931689975;3.1086215145194322;18.903129561216254;1.3508826745820965
S51;51;Armazenamento, atividades auxiliares dos transportes e correio;43692.981283399924;0.0;43692.981283399924;14.893587679892306;138858.8935876799;8.519264307690984;86.72400818968492;5.822909164241883
S52;52;Alojamento;13035.822547059804;0.0;13035.822547059804;1.105269055574241;27788.105269055573;0.5895669896614029;17.446401761056375;15.784755461186887
S53;53;Alimentação;236456.66717480277;0.0;236456.66717480277;1.9036306198547497;276939.90363061987;0.8971132016114193;38.64622153692282;20.30132376199727
S54;54;Edição e edição integrada à impressão;9049.207048858703;0.0;9049.207048858703;-0.2009944569476011;17902.799005543053;-0.09668570983816906;-1.528110234265312;7.602748142769368
S55;55;Atividades de televisão, rádio, cinema e  gravação/edição de som e imagem;2531.293402785704;0.0;2531.293402785704;1.7681689872049136;43875.768168987204;0.6846345159920928;6.714359167463067;3.7973515065870447
S56;56;Telecomunicações;101684.75692133712;0.0;101684.75692133712;7.2636293094005335;166886.2636293094;3.044405158328554;10.97324726703618;1.5107113537353412
S57;57;Desenvolvimento de sistemas e outros serviços de informação;84037.64148935952;0.0;84037.64148935952;3.598357388501963;167413.5983573885;2.376171142354122;16.164063844627446;4.4920673794874855
S58;58;Intermediação financeira, seguros e previdência complementar;301736.51956864115;0.0;301736.51956864115;23.88900052520171;649032.8890005252;15.557523454964114;45.684521753705155;1.912366392453726
S59;59;Atividades imobiliárias;549382.112390987;0.0;549382.112390987;12.855154766553706;639764.8551547666;11.815975234630255;9.372006464244812;0.7290465680451175
S60;60;Atividades jurídicas, contábeis, consultoria e sedes de empresas ;32034.85165758845;0.0;32034.85165758845;168.980655235589;228781.9806552356;115.95508693767646;1395.3364378071083;8.25737381513737
S61;61;Serviços de arquitetura, engenharia, testes/análises técnicas e P & D;29673.530162023802;0.0;29673.530162023802;2.9820154823094907;62893.98201548231;1.8491615937827006;29.89801126395214;10.026108664196785
S62;62;Outras atividades profissionais, científicas e técnicas;5098.809316572152;0.0;5098.809316572152;4.466467507882976;104824.46646750788;1.653896869404406;26.120824084524283;5.848206449150926
S63;63;Aluguéis não-imobiliários e gestão de ativos de propriedade intelectual;8978.277349505062;0.0;8978.277349505062;47.71627319891998;48526.71627319892;29.676630153687906;293.7593662737198;6.156376987974174
S64;64;Outras atividades administrativas e serviços complementares;58973.688460707635;0.0;58973.688460707635;7.582350872915214;261722.58235087292;5.118126675422993;121.06442953213104;15.966608715587567
S65;65;Atividades de vigilância, segurança e investigação;521.3553863900769;0.0;521.3553863900769;3.011650398099853;43099.0116503981;2.4539192437645334;54.64192959275688;18.14351679970299
S66;66;Administração pública, defesa e seguridade social;831653.4542648473;0.0;831653.4542648473;4.983637438938782;858768.983637439;3.5749464183959567;28.002101717690284;5.618807961209366
S67;67;Educação pública;349600.59501555085;0.0;349600.59501555085;0.04045582565358516;351095.0404558256;0.03400746006812842;0.48419076652633997;11.96838177701192
S68;68;Educação privada;127384.63032665911;0.0;127384.63032665911;3.629733509772187;143440.62973350976;2.6035228178182876;72.84587709848486;20.06920808438548
S69;69;Saúde pública;202297.8604357738;0.0;202297.8604357738;-0.010284474664474914;202715.98971552533;-0.006809895369570253;-0.11255573080227234;10.944237258035873
S70;70;Saúde privada;266851.74285359745;0.0;266851.74285359745;0.029803873367890518;302873.0298038734;0.01670681114742389;0.33732864109007876;11.318281920144747
S71;71;Atividades artísticas, criativas e de espetáculos;33041.817888479054;0.0;33041.817888479054;0.29417427877387126;40366.29417427877;0.1674999163488742;8.182958300226987;27.816702175097856
S72;72;Organizações associativas e outros serviços pessoais;143373.98584295495;0.0;143373.98584295495;7.671855600784345;171926.67185560078;3.8555404117762824;200.93702717010078;26.191450625003636
S73;73;Serviços domésticos;74451.0;0.0;74451.0;0.0;74451.0;0.0;0.0;88.15779505983801
