ID;Setor;delta_emp;emp_coeff
40;Geração centralizada de energia elétrica;27807.66;0.44
64;Outras atividades administrativas e serviços complementares;11595.70;15.97
62;Outras atividades profissionais, científicas e técnicas;4475.53;5.85
61;Serviços de arquitetura, engenharia, testes/análises técnicas e P & D;3927.10;10.03
31;Fabricação de produtos de metal, exceto máquinas e equipamentos;3639.84;6.57
42;Transmissão;3360.39;0.74
33;Fabricação de máquinas e equipamentos elétricos;3191.44;2.48
28;Fabricação de produtos de minerais não-metálicos;3042.29;6.72
72;Organizações associativas e outros serviços pessoais;2354.59;26.19
58;Intermediação financeira, seguros e previdência complementar;2167.80;1.91
